publication_title,print_identifier,title_url,title_id,publisher_name,parent_publication_title_id
ACM SIGGRAPH 2008 computer animation festival,978-1-60558-345-7,https://dl.acm.org/doi/book/10.1145/1400468,10.1145/1400468,Association for Computing Machinery,acmconferences
ACM SIGGRAPH 2008 new tech demos,978-1-4503-7847-5,https://dl.acm.org/doi/book/10.1145/1401615,10.1145/1401615,Association for Computing Machinery,acmconferences
ACM SIGGRAPH 2008 papers,978-1-4503-0112-1,https://dl.acm.org/doi/book/10.1145/1399504,10.1145/1399504,Association for Computing Machinery,acmconferences
ACM SIGGRAPH 2008 posters,978-1-60558-466-9,https://dl.acm.org/doi/book/10.1145/1400885,10.1145/1400885,Association for Computing Machinery,acmconferences
ACM SIGGRAPH 2008 talks,978-1-60558-343-3,https://dl.acm.org/doi/book/10.1145/1401032,10.1145/1401032,Association for Computing Machinery,acmconferences
ACM SIGGRAPH 2009 Art Gallery,978-1-4503-7940-3,https://dl.acm.org/doi/book/10.1145/1667265,10.1145/1667265,Association for Computing Machinery,acmconferences
ACM SIGGRAPH 2009 Awards,978-1-4503-7937-3,https://dl.acm.org/doi/book/10.1145/1667228,10.1145/1667228,Association for Computing Machinery,acmconferences
ACM SIGGRAPH 2009 Computer Animation Festival,978-1-4503-7927-4,https://dl.acm.org/doi/book/10.1145/1596685,10.1145/1596685,Association for Computing Machinery,acmconferences
ACM SIGGRAPH 2009 Courses,978-1-4503-7938-0,https://dl.acm.org/doi/book/10.1145/1667239,10.1145/1667239,Association for Computing Machinery,acmconferences
ACM SIGGRAPH 2009 Emerging Technologies,978-1-60558-833-9,https://dl.acm.org/doi/book/10.1145/1597956,10.1145/1597956,Association for Computing Machinery,acmconferences
ACM SIGGRAPH 2009 papers,978-1-60558-726-4,https://dl.acm.org/doi/book/10.1145/1576246,10.1145/1576246,Association for Computing Machinery,acmconferences
ACM SIGGRAPH 2009: Music & Audio,978-1-60558-832-2,https://dl.acm.org/doi/book/10.1145/1597983,10.1145/1597983,Association for Computing Machinery,acmconferences
ACM SIGGRAPH 2010 Art Gallery,978-1-4503-0390-3,https://dl.acm.org/doi/book/10.1145/1836786,10.1145/1836786,Association for Computing Machinery,acmconferences
ACM SIGGRAPH 2010 Awards,978-1-4503-0391-0,https://dl.acm.org/doi/book/10.1145/1836809,10.1145/1836809,Association for Computing Machinery,acmconferences
ACM SIGGRAPH 2010 Computer Animation Festival,978-1-4503-0389-7,https://dl.acm.org/doi/book/10.1145/1836623,10.1145/1836623,Association for Computing Machinery,acmconferences
ACM SIGGRAPH 2010 Courses,978-1-4503-0395-8,https://dl.acm.org/doi/book/10.1145/1837101,10.1145/1837101,Association for Computing Machinery,acmconferences
ACM SIGGRAPH 2010 Dailies,978-1-4503-0210-4,https://dl.acm.org/doi/book/10.1145/1834518,10.1145/1834518,Association for Computing Machinery,acmconferences
ACM SIGGRAPH 2010 Emerging Technologies,978-1-4503-0392-7,https://dl.acm.org/doi/book/10.1145/1836821,10.1145/1836821,Association for Computing Machinery,acmconferences
ACM SIGGRAPH 2010 Posters,978-1-4503-0393-4,https://dl.acm.org/doi/book/10.1145/1836845,10.1145/1836845,Association for Computing Machinery,acmconferences
ACM SIGGRAPH 2010 Talks,978-1-4503-0394-1,https://dl.acm.org/doi/book/10.1145/1837026,10.1145/1837026,Association for Computing Machinery,acmconferences
ACM SIGGRAPH 2010 papers,978-1-4503-0210-4,https://dl.acm.org/doi/book/10.1145/1833349,10.1145/1833349,Association for Computing Machinery,acmconferences
ACM SIGGRAPH 2011 Art Gallery,978-1-4503-0964-6,https://dl.acm.org/doi/book/10.1145/2019342,10.1145/2019342,Association for Computing Machinery,acmconferences
ACM SIGGRAPH 2011 Awards,978-1-4503-0965-3,https://dl.acm.org/doi/book/10.1145/2018996,10.1145/2018996,Association for Computing Machinery,acmconferences
ACM SIGGRAPH 2011 Computer Animation Festival,978-1-4503-0966-0,https://dl.acm.org/doi/book/10.1145/2019001,10.1145/2019001,Association for Computing Machinery,acmconferences
ACM SIGGRAPH 2011 Courses,978-1-4503-0967-7,https://dl.acm.org/doi/book/10.1145/2037636,10.1145/2037636,Association for Computing Machinery,acmconferences
ACM SIGGRAPH 2011 Dailies,978-1-4503-0968-4,https://dl.acm.org/doi/book/10.1145/2047493,10.1145/2047493,Association for Computing Machinery,acmconferences
ACM SIGGRAPH 2011 Emerging Technologies,978-1-4503-0969-1,https://dl.acm.org/doi/book/10.1145/2048259,10.1145/2048259,Association for Computing Machinery,acmconferences
ACM SIGGRAPH 2011 Game Papers,978-1-4503-0970-7,https://dl.acm.org/doi/book/10.1145/2037692,10.1145/2037692,Association for Computing Machinery,acmconferences
ACM SIGGRAPH 2011 Posters,978-1-4503-0971-4,https://dl.acm.org/doi/book/10.1145/2037715,10.1145/2037715,Association for Computing Machinery,acmconferences
ACM SIGGRAPH 2011 Real-Time Live!,978-1-4503-0972-1,https://dl.acm.org/doi/book/10.1145/2037957,10.1145/2037957,Association for Computing Machinery,acmconferences
ACM SIGGRAPH 2011 Studio Talks,978-1-4503-0973-8,https://dl.acm.org/doi/book/10.1145/2037703,10.1145/2037703,Association for Computing Machinery,acmconferences
ACM SIGGRAPH 2011 Talks,978-1-4503-0974-5,https://dl.acm.org/doi/book/10.1145/2037826,10.1145/2037826,Association for Computing Machinery,acmconferences
ACM SIGGRAPH 2011 papers,978-1-4503-0943-1,https://dl.acm.org/doi/book/10.1145/1964921,10.1145/1964921,Association for Computing Machinery,acmconferences
ACM SIGGRAPH 2012 Art Gallery,978-1-4503-1675-0,https://dl.acm.org/doi/book/10.1145/2341931,10.1145/2341931,Association for Computing Machinery,acmconferences
ACM SIGGRAPH 2012 Awards,978-1-4503-1676-7,https://dl.acm.org/doi/book/10.1145/2341920,10.1145/2341920,Association for Computing Machinery,acmconferences
